Name,Email Address,Mobile / WhatsApp,Role,City,Language,Region,Country,Facilitator(s),Group Name,Registered Through,WhatsApp Group Status,Initiation Status,Culmination Status,Notes,Registered By
Jyoti Naik,jyoti.naik341@yahoo.com,8329808445,Sadhak,Chicago,English,Non India,Singapore,Vijay Reddy,Lucknow Group,Email,Pending,Pending,Pending,,System
Isha Kulkarni,isha.kulkarni938@hotmail.com,6375617499,Facliators,Colombo,Malayalam,Non India,Kuwait,Anand Rao,Nagpur Group,Telegram,No,Pending,No,Regular attendee,Coordinator
Divya Subramaniam,divya.subramaniam497@yahoo.com,7182597784,Facliators,Visakhapatnam,Assamese,India,India,Swati Shah,Jaipur Group,Twitter,No,Pending,Yes,,Facilitator
Darshan Gupta,darshan.gupta573@outlook.com,6515884929,Sadhak,London,Tamil,Non India,Australia,Ashwin Verma,Delhi Group,Telegram,Pending,No,No,,System
Usha Nair,usha.nair740@gmail.com,9318255249,Sadhak,Agra,Bengali,India,India,Anand Rao,Delhi Group,Website,Yes,Yes,Yes,,Admin1
Sneha Iyer,sneha.iyer799@hotmail.com,9073005310,Sadhak,Muscat,Gujarati,Non India,Sri Lanka,Pooja Mehta,London Group,WhatsApp,Pending,Yes,Pending,Follow up,Volunteer
Aarav Sen,aarav.sen287@gmail.com,6908763267,Sadhak,Toronto,Malayalam,Non India,Bahrain,Lakshmi Krishnan,Chennai Group,Twitter,Yes,No,No,Needs reminder,Facilitator
Deepak Pillai,deepak.pillai415@gmail.com,9442471779,Sadhak,Vadodara,Kannada,India,India,Suresh Pillai,Jaipur Group,Telegram,Pending,No,Pending,,Volunteer
Leela Nair,leela.nair169@outlook.com,9222556420,Sadhak,Chicago,Hindi,Non India,Canada,Vijay Reddy,Singapore Group,WhatsApp,Yes,Yes,Yes,Needs reminder,Admin1
Rohit Gupta,rohit.gupta858@rediffmail.com,8086351056,Facliators,Sydney,English,Non India,USA,Kavya Iyer,Bangalore Group,YouTube,No,Pending,Yes,,RasPay
Rajesh Singh,rajesh.singh236@gmail.com,8949892523,Facliators,Paris,Malayalam,Non India,Qatar,Ganesh Shetty,Delhi Group,Email,Pending,Yes,Yes,,RasPay
Shruti Rao,shruti.rao723@rediffmail.com,8164921772,Facliators,Dubai,Telugu,Non India,UK,Kavya Iyer,Toronto Group,Twitter,Pending,No,Yes,,Admin1
Ritu Roy,ritu.roy483@yahoo.com,7084109035,Facliators,Chicago,Malayalam,Non India,Malaysia,Deepa Nair,Delhi Group,Website,No,No,Pending,,Admin1
Sneha Agarwal,sneha.agarwal329@gmail.com,7692441403,Facliators,Agra,Hindi,India,India,Anand Rao,Dubai Group,Twitter,Pending,No,Pending,,RasPay
Mahesh Rao,mahesh.rao197@rediffmail.com,7550697213,Facliators,Abu Dhabi,Telugu,Non India,Bahrain,Meena Joshi,Ahmedabad Group,Word of Mouth,Pending,No,Pending,Awaiting response,Coordinator
Bindu Agarwal,bindu.agarwal159@rediffmail.com,6376447550,Sadhak,Nagpur,Odia,India,India,Priya Sharma,Toronto Group,Instagram,No,Yes,No,,Admin1
Faisal Kumar,faisal.kumar948@outlook.com,8638988194,Facliators,Ranchi,Marathi,India,India,Ganesh Shetty,Toronto Group,Instagram,Yes,Yes,No,,Admin2
Sagar Mehta,sagar.mehta347@hotmail.com,9291498411,Sadhak,Auckland,Gujarati,Non India,Germany,Ashwin Verma,Bangalore Group,Telegram,No,No,Yes,,RasPay
Uma Patel,uma.patel434@gmail.com,7699523748,Sadhak,Pimpri,Marathi,India,India,Radha Sharma,Dubai Group,Instagram,Yes,Pending,Yes,Inactive,Volunteer
Manju Banerjee,manju.banerjee174@hotmail.com,9834164113,Sadhak,Kathmandu,Malayalam,Non India,Sri Lanka,Vijay Reddy,Chennai Group,Facebook,Pending,No,Pending,Regular attendee,Self
Bharat Mishra,bharat.mishra501@outlook.com,8407534775,Facliators,Chennai,Marathi,India,India,Ganesh Shetty,Mumbai Group,Twitter,Yes,Yes,Yes,,Admin2
Deepak Nair,deepak.nair454@rediffmail.com,7811014208,Sadhak,San Jose,Telugu,Non India,Oman,Karthik Menon,Kolkata Group,Instagram,Pending,Pending,Pending,,RasPay
Kamla Dubey,kamla.dubey634@gmail.com,9097651869,Sadhak,Indore,Assamese,India,India,Deepa Nair,Dubai Group,Referral,Yes,No,No,Interested,Self
Parth Singh,parth.singh729@gmail.com,8942637984,Sadhak,Frankfurt,English,Non India,Australia,Suresh Pillai,Delhi Group,WhatsApp,No,No,No,Needs reminder,Facilitator
Lokesh Gupta,lokesh.gupta216@rediffmail.com,7297993017,Sadhak,Hyderabad,Malayalam,India,India,Anand Rao,Dubai Group,Twitter,Yes,Yes,No,,RasPay
Chirag Yadav,chirag.yadav181@hotmail.com,8872026461,Facliators,Toronto,Tamil,Non India,Qatar,Naveen Rao,USA Group,YouTube,Pending,Pending,Yes,Awaiting response,Admin1
Wasim Gupta,wasim.gupta917@outlook.com,8802687708,Facliators,Vasai,Punjabi,India,India,Priya Sharma,Bangalore Group,Referral,No,Yes,Pending,,System
Darshan Sundaram,darshan.sundaram685@gmail.com,6236972619,Sadhak,Riyadh,Gujarati,Non India,Kuwait,Vijay Reddy,Mysore Group,WhatsApp,No,Pending,Yes,,Coordinator
Hemant Murthy,hemant.murthy120@outlook.com,9351182329,Facliators,Melbourne,English,Non India,UK,Anand Rao,Singapore Group,Website,Pending,Yes,Pending,Needs reminder,Admin2
Ritu Ghosh,ritu.ghosh447@gmail.com,6215018019,Sadhak,Varanasi,Gujarati,India,India,Ashwin Verma,Toronto Group,Twitter,No,Yes,Yes,Awaiting response,Admin1
Ruchika Chatterjee,ruchika.chatterjee835@yahoo.com,6195849733,Facliators,Melbourne,Telugu,Non India,Germany,Naveen Rao,Hyderabad Group,Telegram,No,Pending,Pending,,Admin2
Jyoti Pandey,jyoti.pandey937@hotmail.com,9663823978,Sadhak,Dubai,Gujarati,Non India,Canada,Priya Sharma,Mysore Group,Email,Pending,Yes,Yes,Awaiting response,RasPay
Deepa Patil,deepa.patil983@hotmail.com,9341259402,Facliators,Frankfurt,English,Non India,Qatar,Radha Sharma,Lucknow Group,Website,Yes,No,Pending,,Volunteer
Dhara Nair,dhara.nair371@gmail.com,6845277585,Facliators,Auckland,Hindi,Non India,UK,Deepa Nair,Delhi Group,Instagram,No,Pending,Pending,Awaiting response,Admin2
Girish Dey,girish.dey237@hotmail.com,9237656128,Facliators,Colombo,Tamil,Non India,Germany,Priya Sharma,Nagpur Group,Referral,No,Pending,Yes,,Self
Parvati Rao,parvati.rao708@yahoo.com,9810028964,Sadhak,Melbourne,Malayalam,Non India,New Zealand,Anand Rao,Dubai Group,Twitter,Pending,Yes,Yes,Follow up,System
Jyoti Reddy,jyoti.reddy876@rediffmail.com,9756400980,Facliators,Chandigarh,Tamil,India,India,Lakshmi Krishnan,Mumbai Group,Word of Mouth,Pending,Pending,No,Inactive,Admin2
Yamini Sharma,yamini.sharma372@gmail.com,9564580452,Sadhak,Kalyan,Marathi,India,India,Swati Shah,Jaipur Group,Telegram,No,Yes,No,New member,Self
Rohit Agarwal,rohit.agarwal127@rediffmail.com,7807874482,Facliators,Patna,Kannada,India,India,Arjun Singh,Dubai Group,WhatsApp,Yes,Pending,No,,Volunteer
Isha Verma,isha.verma737@outlook.com,6606300133,Facliators,London,Hindi,Non India,Bahrain,Arjun Singh,Toronto Group,Telegram,Pending,Yes,No,Awaiting response,RasPay
Sunita Chakraborty,sunita.chakraborty760@outlook.com,6346186678,Sadhak,New York,Tamil,Non India,Germany,Mohan Gupta,Malaysia Group,YouTube,Pending,Pending,Pending,New member,Admin1
Sagar Agarwal,sagar.agarwal355@gmail.com,7401169861,Facliators,Houston,English,Non India,Canada,Meena Joshi,Lucknow Group,Instagram,Pending,Yes,No,New member,Admin1
Faisal Pandey,faisal.pandey756@outlook.com,8996562025,Sadhak,Melbourne,Hindi,Non India,Bahrain,Suresh Pillai,Pune Group,Word of Mouth,No,Yes,Pending,Inactive,Coordinator
Usha Oberoi,usha.oberoi929@gmail.com,7024902366,Sadhak,Toronto,English,Non India,Malaysia,Suresh Pillai,Coimbatore Group,Twitter,Pending,Yes,No,Confirmed,Coordinator
Tarun Sundaram,tarun.sundaram404@gmail.com,7116672258,Facliators,Kuwait City,Gujarati,Non India,UK,Naveen Rao,USA Group,Telegram,Pending,Pending,No,,Admin2
Umesh Chatterjee,umesh.chatterjee545@gmail.com,8626839126,Sadhak,Kuala Lumpur,English,Non India,Oman,Meena Joshi,Hyderabad Group,Email,Pending,No,Yes,Regular attendee,System
Tarun Krishnan,tarun.krishnan913@outlook.com,8407267927,Facliators,Dubai,English,Non India,Qatar,Priya Sharma,Mysore Group,Word of Mouth,Pending,Pending,Pending,,RasPay
Savita Gowda,savita.gowda807@hotmail.com,8898898298,Facliators,Ludhiana,Punjabi,India,India,Meena Joshi,Lucknow Group,Referral,Yes,Yes,No,,RasPay
Meena Yadav,meena.yadav324@hotmail.com,9533547831,Facliators,Jaipur,English,India,India,Mohan Gupta,Mysore Group,Instagram,Yes,Yes,No,,Self
Kavya Ghosh,kavya.ghosh425@yahoo.com,9619634775,Facliators,Ahmedabad,Malayalam,India,India,Sunita Patel,Ahmedabad Group,Telegram,Pending,No,No,Inactive,System
Lalit Chatterjee,lalit.chatterjee655@hotmail.com,6480497799,Sadhak,Doha,Hindi,Non India,Saudi Arabia,Sunita Patel,Sydney Group,Word of Mouth,No,No,Pending,,RasPay
Vikram Ghosh,vikram.ghosh832@gmail.com,8762353565,Facliators,Muscat,Gujarati,Non India,Qatar,Ashwin Verma,Nagpur Group,Instagram,Pending,Pending,Pending,Interested,Volunteer
Girish Chakraborty,girish.chakraborty334@hotmail.com,8149366959,Facliators,Kuwait City,Tamil,Non India,Netherlands,Karthik Menon,Bangalore Group,Facebook,No,No,Pending,Follow up,Admin2
Hema Pillai,hema.pillai772@hotmail.com,9625163305,Sadhak,Nagpur,Telugu,India,India,Ashwin Verma,London Group,Telegram,No,Pending,No,Confirmed,Admin2
Usha Roy,usha.roy402@rediffmail.com,6175336549,Facliators,Houston,Gujarati,Non India,Sri Lanka,Lakshmi Krishnan,Mysore Group,Facebook,No,No,Pending,Confirmed,Admin1
Sunita Bose,sunita.bose551@gmail.com,9346434186,Sadhak,Rajkot,Punjabi,India,India,Sunita Patel,Chennai Group,Referral,Pending,No,Yes,Needs reminder,System
Sunita Gupta,sunita.gupta807@outlook.com,8456841908,Facliators,Muscat,Malayalam,Non India,New Zealand,Mohan Gupta,Delhi Group,WhatsApp,Yes,Yes,Yes,Inactive,System
Kamla Patel,kamla.patel201@hotmail.com,9211350545,Facliators,Dubai,Malayalam,Non India,Canada,Meena Joshi,Nagpur Group,YouTube,Yes,No,Yes,Interested,RasPay
Swati Dey,swati.dey805@gmail.com,9279067864,Sadhak,Houston,Gujarati,Non India,Kuwait,Meena Joshi,Dubai Group,Instagram,Pending,Pending,Yes,Regular attendee,Volunteer
Nandita Venkatesh,nandita.venkatesh997@rediffmail.com,8003440256,Sadhak,Varanasi,Marathi,India,India,Mohan Gupta,Singapore Group,Instagram,No,No,Yes,,Facilitator
Chitra Nair,chitra.nair41@hotmail.com,9598102858,Facliators,Dubai,Telugu,Non India,New Zealand,Ravi Kumar,Delhi Group,Instagram,No,No,No,Active,System
Smita Desai,smita.desai443@rediffmail.com,8512115957,Facliators,Amritsar,Gujarati,India,India,Mohan Gupta,Singapore Group,Telegram,Yes,Pending,Yes,Needs reminder,Admin1
Geeta Singh,geeta.singh433@yahoo.com,7061244517,Facliators,Abu Dhabi,Tamil,Non India,Oman,Vijay Reddy,Mysore Group,Referral,No,Pending,Yes,,System
Jayesh Jain,jayesh.jain199@outlook.com,8748836036,Facliators,Mysore,Tamil,India,India,Arjun Singh,Malaysia Group,Twitter,Pending,Pending,Pending,Interested,Facilitator
Faisal Subramaniam,faisal.subramaniam416@hotmail.com,6726095360,Facliators,Kalyan,Hindi,India,India,Ganesh Shetty,Jaipur Group,Website,No,Pending,Yes,,Self
Nisha Kumar,nisha.kumar263@gmail.com,9142499467,Facliators,Auckland,Hindi,Non India,USA,Deepa Nair,Malaysia Group,Instagram,Yes,Pending,Pending,Inactive,Volunteer
Rohit Tiwari,rohit.tiwari177@yahoo.com,9462637465,Facliators,Colombo,Telugu,Non India,Malaysia,Kavya Iyer,Dubai Group,Word of Mouth,Pending,No,Pending,,Admin2
Divya Shastri,divya.shastri862@rediffmail.com,9375927959,Facliators,San Jose,Gujarati,Non India,Canada,Arjun Singh,Lucknow Group,Instagram,Yes,No,Pending,,System
Faisal Jain,faisal.jain127@hotmail.com,6821549283,Facliators,Indore,Bengali,India,India,Priya Sharma,Ahmedabad Group,Instagram,Pending,No,Yes,New member,System
Naresh Chatterjee,naresh.chatterjee901@outlook.com,8446554897,Facliators,Amritsar,Bengali,India,India,Lakshmi Krishnan,Toronto Group,Instagram,Yes,Yes,Yes,Confirmed,System
Rahul Murthy,rahul.murthy741@yahoo.com,7170192637,Sadhak,Dubai,Malayalam,Non India,Sri Lanka,Pooja Mehta,Hyderabad Group,Twitter,Pending,Pending,No,,RasPay
Taruna Rajan,taruna.rajan116@gmail.com,9925815336,Sadhak,Mumbai,Punjabi,India,India,Radha Sharma,Mysore Group,Email,Pending,Yes,Pending,New member,Admin2
Priya Sharma,priya.sharma706@hotmail.com,8644043852,Sadhak,Srinagar,English,India,India,Arjun Singh,Ahmedabad Group,Telegram,Yes,No,No,Inactive,System
Chitra Chakraborty,chitra.chakraborty186@rediffmail.com,8566105871,Facliators,Toronto,English,Non India,Germany,Deepa Nair,Pune Group,Website,Yes,No,Pending,,System
Sachin Shetty,sachin.shetty361@outlook.com,9065921867,Facliators,Lucknow,Gujarati,India,India,Mohan Gupta,Nagpur Group,Facebook,No,Pending,No,,Admin2
Irfan Nair,irfan.nair987@gmail.com,6202781110,Sadhak,Vadodara,Hindi,India,India,Pooja Mehta,Jaipur Group,Website,Pending,Yes,No,,Coordinator
Suresh Patil,suresh.patil727@outlook.com,9576622362,Sadhak,Jabalpur,Malayalam,India,India,Priya Sharma,London Group,WhatsApp,Pending,Yes,Yes,Needs reminder,Volunteer
Yogesh Nair,yogesh.nair227@gmail.com,7573295591,Facliators,Colombo,Hindi,Non India,Canada,Meena Joshi,Pune Group,Referral,Yes,Pending,Pending,,Volunteer
Jyoti Desai,jyoti.desai517@outlook.com,7434104614,Sadhak,Aurangabad,Assamese,India,India,Mohan Gupta,Bangalore Group,Instagram,No,Pending,No,,Admin2
Rahul Krishnan,rahul.krishnan812@outlook.com,8745304056,Facliators,London,Tamil,Non India,Netherlands,Sunita Patel,Delhi Group,Telegram,Pending,Pending,Pending,New member,Self
Meena Rajan,meena.rajan778@rediffmail.com,6138679717,Facliators,Kuwait City,Tamil,Non India,Germany,Pooja Mehta,Bangalore Group,Referral,No,Pending,Pending,Follow up,Volunteer
Bharat Menon,bharat.menon728@hotmail.com,8684920863,Sadhak,Thane,Telugu,India,India,Deepa Nair,Singapore Group,Instagram,Pending,Yes,No,,System
Vani Rao,vani.rao140@yahoo.com,9337154969,Sadhak,Abu Dhabi,English,Non India,Saudi Arabia,Rajesh Kumar,Singapore Group,WhatsApp,Yes,No,Pending,Active,RasPay
Geeta Verma,geeta.verma746@yahoo.com,7640075197,Facliators,Doha,Malayalam,Non India,USA,Meena Joshi,Pune Group,Website,No,No,Yes,Regular attendee,RasPay
Aditya Gupta,aditya.gupta100@hotmail.com,6219142617,Sadhak,Kolkata,Punjabi,India,India,Ashwin Verma,Chennai Group,Instagram,No,Yes,No,,RasPay
Jayesh Murthy,jayesh.murthy125@gmail.com,8824189711,Facliators,Faridabad,English,India,India,Priya Sharma,Mysore Group,Facebook,Pending,No,No,Regular attendee,RasPay
Faisal Kumar,faisal.kumar263@yahoo.com,8308653375,Facliators,Kuala Lumpur,Telugu,Non India,Netherlands,Radha Sharma,Bangalore Group,Twitter,No,Pending,No,Interested,System
Vani Naik,vani.naik64@outlook.com,8119721166,Sadhak,Paris,Tamil,Non India,UAE,Rajesh Kumar,Bangalore Group,Word of Mouth,Pending,No,Pending,,Coordinator
Lakshmi Jain,lakshmi.jain320@outlook.com,6649037165,Facliators,Kuwait City,Hindi,Non India,Malaysia,Priya Sharma,Jaipur Group,Email,No,No,No,,System
Naresh Gupta,naresh.gupta868@rediffmail.com,7685845784,Facliators,Kuwait City,English,Non India,UAE,Meena Joshi,Pune Group,WhatsApp,No,Yes,No,,Coordinator
Aditya Sharma,aditya.sharma685@yahoo.com,9317530064,Facliators,Visakhapatnam,Punjabi,India,India,Arjun Singh,Ahmedabad Group,WhatsApp,Pending,Pending,Yes,Regular attendee,Self
Sanjay Sharma,sanjay.sharma865@outlook.com,9956429583,Sadhak,Doha,Malayalam,Non India,Kuwait,Radha Sharma,Ahmedabad Group,Telegram,Yes,No,Pending,Awaiting response,Admin1
Ruchika Kumar,ruchika.kumar262@yahoo.com,8381513372,Sadhak,Hyderabad,Punjabi,India,India,Meena Joshi,Chennai Group,Word of Mouth,Pending,Pending,Pending,Confirmed,System
Naveen Desai,naveen.desai965@gmail.com,9265339324,Facliators,Pune,Gujarati,India,India,Ganesh Shetty,Pune Group,Telegram,Yes,Yes,Yes,Needs reminder,System
Rahul Bose,rahul.bose57@rediffmail.com,8230290713,Sadhak,Nagpur,Hindi,India,India,Priya Sharma,Malaysia Group,WhatsApp,Yes,No,No,,Self
Vijay Menon,vijay.menon395@outlook.com,7194304121,Facliators,Colombo,Telugu,Non India,Malaysia,Rajesh Kumar,Singapore Group,Facebook,Pending,No,No,,Volunteer
Nikhil Dubey,nikhil.dubey743@gmail.com,8284358034,Facliators,Jaipur,Punjabi,India,India,Mohan Gupta,Delhi Group,Telegram,Yes,Pending,Pending,Confirmed,Volunteer
Suresh Venkatesh,suresh.venkatesh926@rediffmail.com,8346462391,Sadhak,Bahrain,Hindi,Non India,Oman,Lakshmi Krishnan,Jaipur Group,WhatsApp,Pending,No,No,,Volunteer
Swati Mehta,swati.mehta266@yahoo.com,8165924493,Sadhak,Auckland,Telugu,Non India,Qatar,Swati Shah,Nagpur Group,WhatsApp,Pending,Yes,Yes,Interested,Self
Swati Mishra,swati.mishra282@yahoo.com,8036962014,Facliators,Ranchi,English,India,India,Ravi Kumar,London Group,Instagram,Yes,Yes,No,Follow up,Facilitator
Ojas Patel,ojas.patel762@outlook.com,7343731697,Sadhak,Abu Dhabi,Telugu,Non India,Canada,Ganesh Shetty,Hyderabad Group,Instagram,Yes,No,Pending,Follow up,Volunteer
Hema Shah,hema.shah422@outlook.com,6513502153,Sadhak,Srinagar,Punjabi,India,India,Vijay Reddy,Ahmedabad Group,WhatsApp,Pending,No,Yes,,Facilitator
Deepak Sen,deepak.sen805@hotmail.com,7558113206,Facliators,New York,Telugu,Non India,New Zealand,Deepa Nair,Sydney Group,Word of Mouth,Yes,No,Yes,New member,Admin2
Jatin Shah,jatin.shah221@yahoo.com,9744464950,Sadhak,Auckland,Tamil,Non India,Nepal,Vijay Reddy,Coimbatore Group,Telegram,No,Pending,Yes,New member,Volunteer
Priya Joshi,priya.joshi176@gmail.com,7400635076,Sadhak,Toronto,Tamil,Non India,USA,Ravi Kumar,Ahmedabad Group,YouTube,Yes,Pending,Yes,,Volunteer
Sneha Pandey,sneha.pandey235@yahoo.com,7444947175,Facliators,Chicago,Gujarati,Non India,Qatar,Naveen Rao,Ahmedabad Group,Website,Yes,Yes,Pending,Active,Self
Jatin Murthy,jatin.murthy392@rediffmail.com,8529828979,Facliators,Delhi,Hindi,India,India,Anand Rao,Hyderabad Group,Twitter,No,Yes,No,,RasPay
Taruna Hegde,taruna.hegde656@rediffmail.com,9084850018,Sadhak,London,Tamil,Non India,Nepal,Mohan Gupta,Ahmedabad Group,Twitter,Pending,No,No,,Admin2
Priya Desai,priya.desai913@yahoo.com,8117761900,Facliators,Auckland,English,Non India,Nepal,Arjun Singh,USA Group,Referral,Yes,Pending,Yes,,System
Nikhil Jain,nikhil.jain854@yahoo.com,8476442027,Sadhak,Surat,Telugu,India,India,Suresh Pillai,Jaipur Group,Twitter,Pending,Yes,Pending,,System
Taruna Gupta,taruna.gupta510@outlook.com,8922577681,Facliators,Houston,Telugu,Non India,Saudi Arabia,Pooja Mehta,Ahmedabad Group,Telegram,No,Yes,Pending,Confirmed,Admin2
Deepak Pandey,deepak.pandey995@yahoo.com,8604290134,Sadhak,Allahabad,Marathi,India,India,Priya Sharma,Nagpur Group,Website,Pending,Yes,Yes,Interested,Admin2
Yogesh Banerjee,yogesh.banerjee242@hotmail.com,7654311150,Sadhak,Amritsar,Kannada,India,India,Radha Sharma,Bangalore Group,Referral,No,Yes,Pending,,Coordinator
Mohan Reddy,mohan.reddy126@yahoo.com,8043869327,Sadhak,Chicago,Hindi,Non India,Bahrain,Lakshmi Krishnan,Hyderabad Group,Email,Pending,Yes,No,,Admin1
Rohit Kulkarni,rohit.kulkarni929@yahoo.com,8929093283,Facliators,Jaipur,Punjabi,India,India,Suresh Pillai,Lucknow Group,Website,Yes,Pending,Pending,,Volunteer
Ritu Kamath,ritu.kamath12@hotmail.com,8298573998,Facliators,Srinagar,Tamil,India,India,Deepa Nair,Hyderabad Group,WhatsApp,No,Yes,No,Awaiting response,Self
Bharat Chakraborty,bharat.chakraborty187@hotmail.com,6406052184,Sadhak,Riyadh,Gujarati,Non India,Canada,Pooja Mehta,Lucknow Group,Word of Mouth,Yes,No,Pending,Active,Facilitator
Sachin Kamath,sachin.kamath99@yahoo.com,6894040221,Sadhak,Gwalior,Bengali,India,India,Rajesh Kumar,Chennai Group,Telegram,No,Pending,Yes,,Volunteer
Parth Roy,parth.roy701@hotmail.com,7918719085,Facliators,Kota,Malayalam,India,India,Kavya Iyer,Nagpur Group,WhatsApp,Yes,No,No,,Self
Girish Hegde,girish.hegde78@rediffmail.com,9621501656,Sadhak,Surat,Marathi,India,India,Priya Sharma,Delhi Group,WhatsApp,Yes,No,Yes,Follow up,System
Yamini Sharma,yamini.sharma931@yahoo.com,8976526988,Facliators,Dubai,Tamil,Non India,Bahrain,Deepa Nair,USA Group,WhatsApp,Yes,No,Pending,,Self
Deepa Rao,deepa.rao923@yahoo.com,7830032670,Facliators,Dhaka,Tamil,Non India,Qatar,Ashwin Verma,Singapore Group,Website,Yes,No,Pending,,Facilitator
Rajan Ghosh,rajan.ghosh449@yahoo.com,7251679758,Sadhak,New York,Telugu,Non India,Canada,Pooja Mehta,Kolkata Group,Website,Pending,Pending,No,Regular attendee,Facilitator
Isha Mukherjee,isha.mukherjee856@hotmail.com,6412684717,Sadhak,Kuala Lumpur,Telugu,Non India,Australia,Mohan Gupta,Mysore Group,Referral,Pending,No,Yes,New member,Admin2
Deepak Subramaniam,deepak.subramaniam655@gmail.com,6916665061,Facliators,Paris,Telugu,Non India,Sri Lanka,Arjun Singh,Sydney Group,Email,No,No,Pending,New member,Volunteer
Nandita Joshi,nandita.joshi611@yahoo.com,8123364102,Sadhak,Paris,Telugu,Non India,Kuwait,Rajesh Kumar,Toronto Group,Website,No,Pending,Pending,Confirmed,System
Aditya Pandey,aditya.pandey992@outlook.com,7731329529,Facliators,San Jose,Hindi,Non India,Germany,Ashwin Verma,Pune Group,Facebook,Pending,Pending,Pending,Active,System
Shiva Menon,shiva.menon134@outlook.com,7924557194,Facliators,Muscat,Telugu,Non India,Oman,Meena Joshi,Dubai Group,Instagram,Yes,Yes,Yes,New member,System
Vijay Natarajan,vijay.natarajan302@yahoo.com,8808853619,Facliators,Sydney,Telugu,Non India,Saudi Arabia,Ravi Kumar,Chennai Group,Instagram,Pending,Pending,Pending,New member,Admin2
Hemant Chatterjee,hemant.chatterjee427@yahoo.com,7269670411,Facliators,Chennai,Malayalam,India,India,Naveen Rao,Mumbai Group,Facebook,Pending,No,Yes,Awaiting response,RasPay
Nisha Desai,nisha.desai421@rediffmail.com,6534482383,Facliators,Pimpri,Assamese,India,India,Pooja Mehta,Mysore Group,Twitter,Pending,Yes,Yes,Interested,Facilitator
Suresh Chatterjee,suresh.chatterjee855@yahoo.com,6098468728,Facliators,Mysore,Punjabi,India,India,Vijay Reddy,London Group,Email,Pending,No,Yes,Regular attendee,Facilitator
Krishna Dubey,krishna.dubey13@outlook.com,8790339174,Sadhak,Chandigarh,Hindi,India,India,Suresh Pillai,Singapore Group,Email,No,No,Yes,Regular attendee,Facilitator
Alka Joshi,alka.joshi265@rediffmail.com,9384072013,Sadhak,Paris,Tamil,Non India,Netherlands,Mohan Gupta,Kolkata Group,Telegram,Yes,No,No,,Self
Vishal Venkatesh,vishal.venkatesh126@outlook.com,6555767984,Sadhak,Chennai,Gujarati,India,India,Karthik Menon,Ahmedabad Group,Telegram,Pending,Yes,No,Interested,Self
Jyoti Subramaniam,jyoti.subramaniam684@gmail.com,9891712430,Sadhak,Kuwait City,English,Non India,USA,Vijay Reddy,Singapore Group,Twitter,No,Yes,Pending,Interested,Admin1
Usha Shastri,usha.shastri799@yahoo.com,6585527495,Sadhak,Frankfurt,Hindi,Non India,Saudi Arabia,Lakshmi Krishnan,Pune Group,Facebook,Pending,No,Pending,,Self
Vikram Krishnan,vikram.krishnan85@yahoo.com,7379176476,Sadhak,San Jose,English,Non India,Saudi Arabia,Sunita Patel,Jaipur Group,Email,Pending,Pending,Yes,Active,System
Akash Naik,akash.naik758@rediffmail.com,6421406229,Facliators,Nagpur,Tamil,India,India,Ganesh Shetty,Nagpur Group,Telegram,Yes,No,No,,Facilitator
Jyoti Tiwari,jyoti.tiwari488@rediffmail.com,9242456063,Sadhak,Houston,Tamil,Non India,UK,Radha Sharma,Chennai Group,Twitter,Yes,Pending,No,Interested,RasPay
Deepa Patel,deepa.patel565@yahoo.com,7533034357,Sadhak,Nashik,Hindi,India,India,Arjun Singh,Jaipur Group,Twitter,Pending,Yes,Pending,Confirmed,RasPay
Shiva Roy,shiva.roy265@gmail.com,9148991284,Facliators,Bahrain,Malayalam,Non India,Nepal,Ashwin Verma,Lucknow Group,Telegram,Yes,No,Pending,,Admin2
Gopal Krishnan,gopal.krishnan809@hotmail.com,7999143799,Facliators,Gwalior,Odia,India,India,Kavya Iyer,Singapore Group,Twitter,No,Yes,Pending,,Admin2
Smita Das,smita.das236@rediffmail.com,7179577320,Facliators,London,English,Non India,Qatar,Karthik Menon,Sydney Group,Twitter,No,Pending,Yes,Follow up,Admin1
Gopal Kulkarni,gopal.kulkarni574@gmail.com,6434067119,Sadhak,Lucknow,Kannada,India,India,Sunita Patel,Chennai Group,Email,No,No,Pending,,Volunteer
Vani Kamath,vani.kamath721@outlook.com,9011395115,Sadhak,Indore,Odia,India,India,Suresh Pillai,Toronto Group,Instagram,No,Pending,No,Regular attendee,System
Lokesh Yadav,lokesh.yadav378@gmail.com,6265082484,Facliators,Guwahati,Malayalam,India,India,Lakshmi Krishnan,Mysore Group,Website,Pending,Pending,No,,Facilitator
Lalit Jain,lalit.jain212@rediffmail.com,8322847381,Facliators,Faridabad,Kannada,India,India,Kavya Iyer,Dubai Group,Instagram,No,No,No,,Admin2
Wasim Menon,wasim.menon111@yahoo.com,7571007546,Sadhak,Thane,English,India,India,Ganesh Shetty,Sydney Group,Facebook,Pending,Yes,Yes,,System
Vani Patel,vani.patel427@rediffmail.com,9919584258,Sadhak,Amsterdam,Telugu,Non India,Singapore,Mohan Gupta,Kolkata Group,Instagram,Pending,Pending,Yes,Regular attendee,System
Sanjay Ghosh,sanjay.ghosh113@outlook.com,8181300690,Facliators,Melbourne,Telugu,Non India,UK,Kavya Iyer,USA Group,YouTube,No,Yes,Yes,Awaiting response,System
Manju Kamath,manju.kamath290@outlook.com,6575286517,Sadhak,Houston,English,Non India,Netherlands,Rajesh Kumar,Bangalore Group,Website,Pending,No,Pending,Active,System
